Wall time,Step,Value
1575891154.5722728,1,5.163768768310547
1575891298.142656,2,91.3098373413086
1575891458.46104,3,315.6898193359375
1575891602.7698739,4,637.0098266601562
1575891747.6091871,5,1022.6119384765625
1575891891.621724,6,1447.9034423828125
1575892035.695759,7,1893.73974609375
1575892176.656438,8,2346.507568359375
1575892322.486851,9,2795.2294921875
1575892463.972666,10,3232.782958984375
1575892604.052556,11,3653.68115234375
1575892747.259734,12,4054.60107421875
1575892893.410559,13,4432.98828125
1575893038.0909472,14,4788.07373046875
1575893177.8915021,15,5119.20947265625
1575893317.396172,16,5426.55615234375
1575893462.485138,17,5710.7197265625
1575893601.657111,18,5972.65478515625
1575893742.9650009,19,6213.17822265625
1575893881.945796,20,6433.6708984375
1575894024.133746,21,6635.2236328125
1575894163.835882,22,6819.2080078125
1575894301.375326,23,6986.70947265625
1575894436.406942,24,7139.15185546875
1575894575.91188,25,7277.55517578125
1575894714.5808709,26,7290.08837890625
1575894855.841342,27,7301.29931640625
1575894994.018594,28,7311.470703125
1575895133.110174,29,7320.51513671875
1575895271.7651541,30,7328.74560546875
1575895409.1253068,31,7336.0498046875
1575895550.284541,32,7342.697265625
1575895690.315733,33,7348.5712890625
1575895832.2727308,34,7353.95556640625
1575895974.0624902,35,7358.6748046875
1575896113.338447,36,7363.013671875
1575896255.0569,37,7366.80322265625
1575896394.252588,38,7367.21142578125
1575896541.064978,39,7367.45849609375
1575896680.334971,40,7367.78759765625
1575896822.065259,41,7367.9775390625
1575896960.1606872,42,7368.2509765625
1575897103.222582,43,7368.39794921875
1575897242.2607,44,7368.63134765625
1575897384.5891662,45,7368.73876953125
1575897523.3896031,46,7368.935546875
1575897665.5025659,47,7368.99658203125
1575897804.739924,48,7369.16943359375
1575897944.838121,49,7369.20458984375
1575898085.083051,50,7369.35205078125
